feature,gain,split,gain_share,fold,group,status
lvl_full_over_28d,46435.57691192627,16,0.06088933105424949,F2,lvl,katkili
lvl_median_log_full,71126.94989776611,25,0.09326625590155593,F2,lvl,katkili
lvl_lf_median_364d,316.80320739746094,2,0.0004154128506007155,F2,lvl,dusuk_katki
grp_lf_med_ilce_ay,8303.572971343994,29,0.010888181803883807,F2,grp,katkili
grp_seasonal_ilce_ay,1309.8696975708008,16,0.0017175858459687568,F2,grp,dusuk_katki
grp_lf_med_il_bucket_ay,1351.6551971435547,14,0.0017723776949335782,F2,grp,dusuk_katki
grp_dow_ratio_ilce,1975.2764129638672,11,0.002590110157578703,F2,grp,dusuk_katki
grp_n_transformers,57843.91217422485,286,0.07584867793350744,F2,grp,katkili
grp_zero_rate_ilce_ay,555.3776016235352,5,0.0007282470229563414,F2,grp,dusuk_katki
grp_zero_rate_bucket,63630.70357513428,267,0.08343669300264642,F2,grp,katkili
grp_lf_nz_med_ilce_ay_hi,1737.101188659668,15,0.00227779940263568,F2,grp,dusuk_katki
grp_lf_nz_med_il_bucket_ay,1116.9462051391602,10,0.0014646120879148296,F2,grp,dusuk_katki
grp_zero_rate_ilce_ay_hi,1506.5951080322266,6,0.0019755449247821476,F2,grp,dusuk_katki
grp_lf_nz_p25_ilce_ay,1937.1927185058594,12,0.0025401723548456666,F2,grp,dusuk_katki
grp_lf_nz_p75_ilce_ay,876.4273986816406,7,0.0011492282765121653,F2,grp,dusuk_katki
seas_lag364_log1p,0.0,0,0.0,F2,seas,kullanilmadi
seas_lag364_available,0.0,0,0.0,F2,seas,kullanilmadi
seas_lag364_ratio_own,0.0,0,0.0,F2,seas,kullanilmadi
seas_lag364_drift_adj,0.0,0,0.0,F2,seas,kullanilmadi
wx_cdd,0.0,0,0.0,F2,wx,kullanilmadi
wx_cdd2,0.0,0,0.0,F2,wx,kullanilmadi
wx_cdd3,0.0,0,0.0,F2,wx,kullanilmadi
wx_hdd,6213.527889251709,24,0.008147579546196812,F2,wx,katkili
wx_t_mean,7184.602745056152,26,0.009420915688562003,F2,wx,katkili
wx_t_max,124.28199768066406,1,0.00016296659165481023,F2,wx,dusuk_katki
wx_t_range,416.6119079589844,5,0.0005462884725858102,F2,wx,dusuk_katki
wx_apparent_max,215.68729782104492,3,0.00028282313162882413,F2,wx,dusuk_katki
wx_humidity,340.17330169677734,3,0.0004460572293980129,F2,wx,dusuk_katki
wx_precip,0.0,0,0.0,F2,wx,kullanilmadi
wx_et0,213.1487045288086,2,0.0002794943639540679,F2,wx,dusuk_katki
wx_soil_moist,6093.021263122559,38,0.007989563465842613,F2,wx,katkili
wx_radiation,73.04429626464844,1,9.578040443685229e-05,F2,wx,dusuk_katki
wx_cdd_ma7,0.0,0,0.0,F2,wx,kullanilmadi
wx_et0_sum7,2506.9406661987305,21,0.003287262704780362,F2,wx,dusuk_katki
wx_precip_30d,4254.188682556152,35,0.0055783672840053365,F2,wx,katkili
wx_t_anom7,0.0,0,0.0,F2,wx,kullanilmadi
static_guc,575460.8668365479,402,0.0846388985806717,F3,static,katkili
static_log_guc,85866.88800048828,52,0.012629318940249523,F3,static,katkili
static_guc_bucket,114532.75091552734,81,0.01684549975082508,F3,static,katkili
static_il,31900.27508544922,32,0.004691898794952751,F3,static,dusuk_katki
static_bolge,52922.01382446289,49,0.007783780303597769,F3,static,katkili
static_ilce_key,1603744.1435546875,667,0.23587900713712007,F3,static,katkili
static_is_first_day,628.0289916992188,2,9.237062882548685e-05,F3,static,dusuk_katki
static_has_bad_rows,9035.026000976562,4,0.0013288734185770345,F3,static,dusuk_katki
cal_ay,8487.505096435547,6,0.0012483439351996578,F3,cal,dusuk_katki
cal_dow,1152.9419860839844,2,0.0001695749362871584,F3,cal,dusuk_katki
cal_is_weekend,0.0,0,0.0,F3,cal,kullanilmadi
cal_doy_sin,977286.1973266602,103,0.1437394479915452,F3,cal,katkili
cal_doy_cos,34198.63903808594,37,0.005029942621560938,F3,cal,katkili
cal_hafta,176048.40936279297,8,0.02589323501223987,F3,cal,katkili
cal_is_holiday,0.0,0,0.0,F3,cal,kullanilmadi
cal_holiday_name,0.0,0,0.0,F3,cal,kullanilmadi
cal_days_to_holiday,0.0,0,0.0,F3,cal,kullanilmadi
cal_days_since_holiday,0.0,0,0.0,F3,cal,kullanilmadi
cal_is_bridge_day,0.0,0,0.0,F3,cal,kullanilmadi
cal_is_ramadan,0.0,0,0.0,F3,cal,kullanilmadi
cal_horizon_days,57310.54608154297,55,0.008429246499530271,F3,cal,katkili
lvl_history_days,96692.82888793945,79,0.014221600476004391,F3,lvl,katkili
lvl_mean_log_28d,36377.94924926758,47,0.005350476000231875,F3,lvl,katkili
lvl_mean_log_56d,18574.846130371094,20,0.0027319920578137433,F3,lvl,dusuk_katki
lvl_mean_log_90d,9923.071014404297,14,0.001459487255517454,F3,lvl,dusuk_katki
lvl_std_log_90d,348026.6628265381,146,0.05118783068651606,F3,lvl,katkili
lvl_trend_slope_90d,88515.74838256836,48,0.013018913851308723,F3,lvl,katkili
lvl_lf_median_90d,17500.896026611328,23,0.002574035263266595,F3,lvl,dusuk_katki
lvl_zero_streak_days,207010.30294799805,51,0.030447116469774434,F3,lvl,katkili
lvl_zero_ratio_30d,12626.90283203125,5,0.0018571673762341986,F3,lvl,dusuk_katki
lvl_zero_ratio_90d,5680.321960449219,4,0.0008354628820530759,F3,lvl,dusuk_katki
lvl_days_since_last_nonzero,43833.97848510742,26,0.0064471102610043265,F3,lvl,katkili
lvl_is_dead_flag,692.1820068359375,1,0.00010180626703256463,F3,lvl,dusuk_katki
lvl_mean_log_full,20869.167846679688,15,0.0030694413515000027,F3,lvl,dusuk_katki
lvl_std_log_full,58304.92623901367,52,0.008575500130574659,F3,lvl,katkili
lvl_zero_ratio_full,120607.87753295898,29,0.017739030580235213,F3,lvl,katkili
lvl_lf_median_full,914690.5246276855,148,0.13453286401949854,F3,lvl,katkili
lvl_mean_log_364d,3994.7210693359375,2,0.0005875443682283128,F3,lvl,dusuk_katki
lvl_full_over_90d,22960.16094970703,25,0.003376985032363856,F3,lvl,dusuk_katki
lvl_full_over_28d,221150.27459716797,99,0.03252682630812839,F3,lvl,katkili
lvl_median_log_full,69076.99769592285,37,0.010159858539786957,F3,lvl,katkili
lvl_lf_median_364d,148532.32421875,25,0.021846163744567933,F3,lvl,katkili
grp_lf_med_ilce_ay,0.0,0,0.0,F3,grp,kullanilmadi
grp_seasonal_ilce_ay,0.0,0,0.0,F3,grp,kullanilmadi
grp_lf_med_il_bucket_ay,0.0,0,0.0,F3,grp,kullanilmadi
grp_dow_ratio_ilce,15821.61996459961,17,0.0023270470065621988,F3,grp,dusuk_katki
grp_n_transformers,250278.52828979492,229,0.036811015646102244,F3,grp,katkili
grp_zero_rate_ilce_ay,0.0,0,0.0,F3,grp,kullanilmadi
grp_zero_rate_bucket,172942.61012268066,201,0.025436433443193372,F3,grp,katkili
grp_lf_nz_med_ilce_ay_hi,0.0,0,0.0,F3,grp,kullanilmadi
grp_lf_nz_med_il_bucket_ay,0.0,0,0.0,F3,grp,kullanilmadi
grp_zero_rate_ilce_ay_hi,0.0,0,0.0,F3,grp,kullanilmadi
grp_lf_nz_p25_ilce_ay,0.0,0,0.0,F3,grp,kullanilmadi
grp_lf_nz_p75_ilce_ay,0.0,0,0.0,F3,grp,kullanilmadi
seas_lag364_log1p,0.0,0,0.0,F3,seas,kullanilmadi
seas_lag364_available,0.0,0,0.0,F3,seas,kullanilmadi
seas_lag364_ratio_own,0.0,0,0.0,F3,seas,kullanilmadi
seas_lag364_drift_adj,0.0,0,0.0,F3,seas,kullanilmadi
wx_cdd,27308.915802001953,24,0.004016600759700777,F3,wx,dusuk_katki
wx_cdd2,9214.564331054688,5,0.0013552799518211827,F3,wx,dusuk_katki
wx_cdd3,3884.2530517578125,2,0.0005712967102640077,F3,wx,dusuk_katki
wx_hdd,9851.60205078125,13,0.0014489755861540618,F3,wx,dusuk_katki
wx_t_mean,3692.531982421875,5,0.0005430983373103322,F3,wx,dusuk_katki
wx_t_max,2816.7120056152344,5,0.0004142825611840319,F3,wx,dusuk_katki
wx_t_range,1876.2980346679688,2,0.00027596628757118095,F3,wx,dusuk_katki
wx_apparent_max,6400.6669921875,11,0.0009414113723814454,F3,wx,dusuk_katki
wx_humidity,0.0,0,0.0,F3,wx,kullanilmadi
wx_precip,0.0,0,0.0,F3,wx,kullanilmadi
wx_et0,1220.4830322265625,2,0.0001795088867674399,F3,wx,dusuk_katki
wx_soil_moist,44376.1572265625,48,0.006526854017974071,F3,wx,katkili
wx_radiation,2110.1399841308594,3,0.0003103598079391226,F3,wx,dusuk_katki
wx_cdd_ma7,12209.561920166016,15,0.0017957847920332824,F3,wx,dusuk_katki
wx_et0_sum7,20493.71697998047,19,0.0030142199634614546,F3,wx,dusuk_katki
wx_precip_30d,20296.50099182129,27,0.0029852133967559675,F3,wx,dusuk_katki
wx_t_anom7,0.0,0,0.0,F3,wx,kullanilmadi
