iter	RMSE
438	0.917346307
439	0.9172449917
440	0.9171951664
441	0.9170760038
442	0.917011273
443	0.9169031878
444	0.9168497707
445	0.9166899573
446	0.9164994397
447	0.9163858569
448	0.9163413569
449	0.9162235447
450	0.9161874555
451	0.9160628763
452	0.9160035006
453	0.915894608
454	0.9157729835
455	0.9156650637
456	0.9156110578
457	0.9155478203
458	0.9154566114
459	0.9153524451
460	0.9151381758
461	0.9150853335
462	0.9149596583
463	0.9148633627
464	0.9147959382
465	0.9147201764
466	0.9146249365
467	0.9145331264
468	0.9144785608
469	0.914376101
470	0.9143413549
471	0.9142417704
472	0.914172489
473	0.9140840557
474	0.9140064824
475	0.9138243937
476	0.9137090924
477	0.9135057472
478	0.9134215439
479	0.913331854
480	0.9132630563
481	0.913168535
482	0.9130497276
483	0.9130012509
484	0.9129141626
485	0.9128615503
486	0.9127978401
487	0.912726607
488	0.9126758167
489	0.9126180864
490	0.9125416627
491	0.9124697054
492	0.9124257693
493	0.9123347528
494	0.9122205387
495	0.9121574972
496	0.9120653746
497	0.9119678759
498	0.9118861967
499	0.9117960568
500	0.9117128156
501	0.9116467015
502	0.911601862
503	0.9115358768
504	0.911491158
505	0.9113816773
506	0.9113596276
507	0.911310302
508	0.9112515479
509	0.9112260293
510	0.9111626378
511	0.9110358926
512	0.9109706633
513	0.9108714748
514	0.9108183637
515	0.9107509975
516	0.9106481337
517	0.9105518516
518	0.9104616129
519	0.9104219578
520	0.9103287793
521	0.9101972958
522	0.9101539483
523	0.9101048563
524	0.9100741752
525	0.9099926967
526	0.9099519385
527	0.9098414764
528	0.909751225
529	0.909648007
530	0.9095894021
531	0.9095123538
532	0.9094530633
533	0.9094183283
534	0.9093469199
535	0.909303058
536	0.909232614
537	0.9091051014
538	0.909070508
539	0.908985072
540	0.9089104502
541	0.9088627583
542	0.9087628552
543	0.9086336674
544	0.9085355884
545	0.9085052516
546	0.9084061346
547	0.9083323848
548	0.9082799102
549	0.9081922291
550	0.9081041956
551	0.9080186832
552	0.9078929431
553	0.9078600469
554	0.907739986
555	0.9077058251
556	0.9076575972
557	0.9076166725
558	0.9074843327
559	0.9073332771
560	0.9072892999
561	0.9072254088
562	0.907114356
563	0.9070859499
564	0.9070016088
565	0.9068654908
566	0.9068381786
567	0.9067795235
